Unnamed: 0,issue_d,loan duration,annual_inc,avg_cur_bal,bc_open_to_buy,bc_util,delinq_2yrs,dti,emp_length,emp_title,fico_range_high,funded_amnt,grade,home_ownership,inq_last_6mths,int_rate,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,num_actv_bc_tl,num_bc_tl,num_il_tl,num_rev_accts,open_acc,pub_rec,pub_rec_bankruptcies,purpose,revol_bal,revol_util,sub_grade,target,tax_liens,zip_code,Pct_afro_american,Predictions,Predicted probabilities
0,2013.0,0.0,39600.0,1379.0,21564.0,16.1,0.0,2.49,2 years,other,759.0,4800.0,B,MORTGAGE,2.0,10.99,220.0,25.0,25.0,0.0,25.0,2.0,4.0,1.0,7.0,3.0,0.0,0.0,home_improvement,4136.0,16.1,B2,0.0,0.0,782.0,7.388591761586696,0.0,0.0
1,2013.0,0.0,55000.0,9570.0,16473.0,53.9,0.0,22.87,10+ years,other,734.0,27050.0,B,OWN,0.0,10.99,326.0,16.0,6.0,4.0,16.0,2.0,8.0,8.0,15.0,14.0,0.0,0.0,debt_consolidation,36638.0,61.2,B2,0.0,0.0,481.0,9.74545556728532,0.0,0.0
2,2013.0,0.0,325000.0,53306.0,13901.0,67.1,0.0,18.55,5 years,sales manager,749.0,28000.0,A,MORTGAGE,1.0,7.62,229.0,5.0,2.0,5.0,5.0,4.0,8.0,11.0,15.0,15.0,0.0,0.0,debt_consolidation,29581.0,54.6,A3,0.0,0.0,945.0,7.542862052159502,0.0,0.0
3,2013.0,0.0,130000.0,36362.0,3567.0,93.0,0.0,13.03,10+ years,other,719.0,12000.0,B,MORTGAGE,1.0,11.99,193.0,4.0,4.0,3.0,85.0,3.0,4.0,8.0,8.0,9.0,0.0,0.0,debt_consolidation,10805.0,67.0,B3,0.0,0.0,809.0,6.598131839160629,0.0,0.0
4,2013.0,1.0,73000.0,24161.0,4853.0,74.7,1.0,23.13,6 years,other,669.0,27600.0,D,MORTGAGE,1.0,19.97,294.0,4.0,4.0,4.0,4.0,5.0,11.0,4.0,16.0,10.0,0.0,0.0,debt_consolidation,27003.0,82.8,D5,1.0,0.0,802.0,7.058900295806508,1.0,1.0
5,2013.0,0.0,40000.0,2268.0,1428.0,79.6,0.0,16.94,10+ years,other,664.0,12000.0,B,RENT,0.0,13.53,182.0,1.0,1.0,0.0,11.0,2.0,14.0,8.0,24.0,7.0,2.0,0.0,debt_consolidation,5572.0,68.8,B5,0.0,0.0,871.0,2.9229458050620702,0.0,0.0
6,2013.0,1.0,32760.0,2060.0,2689.0,70.1,0.0,27.06,4 years,other,679.0,11500.0,E,RENT,0.0,22.9,177.0,14.0,1.0,0.0,20.0,5.0,7.0,4.0,13.0,12.0,0.0,0.0,debt_consolidation,9996.0,70.9,E4,0.0,0.0,937.0,6.622258219144118,1.0,1.0
7,2013.0,0.0,100000.0,15372.0,4822.0,77.6,0.0,22.18,10+ years,driver,664.0,24000.0,B,MORTGAGE,0.0,13.53,299.0,18.0,7.0,3.0,18.0,3.0,10.0,17.0,19.0,14.0,0.0,0.0,credit_card,21617.0,76.7,B5,0.0,0.0,493.0,1.6738710304527311,0.0,0.0
8,2013.0,0.0,81500.0,869.0,6811.0,54.6,0.0,16.73,10+ years,operations manager,689.0,20800.0,B,RENT,2.0,13.53,186.0,0.0,0.0,0.0,0.0,8.0,17.0,1.0,40.0,29.0,0.0,0.0,debt_consolidation,23473.0,54.5,B5,0.0,0.0,100.0,14.736241839065563,0.0,0.0
9,2013.0,0.0,25000.0,3906.0,2050.0,52.3,0.0,24.68,10+ years,other,664.0,3000.0,B,RENT,0.0,12.85,271.0,7.0,7.0,6.0,14.0,2.0,6.0,11.0,9.0,5.0,2.0,2.0,debt_consolidation,2875.0,54.2,B4,0.0,0.0,322.0,28.112087955704617,0.0,0.0
10,2013.0,1.0,25000.0,1878.0,701.0,76.6,0.0,27.03,5 years,other,704.0,10000.0,C,RENT,0.0,13.98,118.0,13.0,13.0,0.0,17.0,1.0,2.0,14.0,8.0,13.0,0.0,0.0,debt_consolidation,5394.0,46.9,C1,1.0,0.0,128.0,1.9290934991279804,0.0,0.0
11,2013.0,0.0,70000.0,5066.0,3489.0,39.8,0.0,19.2,4 years,other,679.0,7200.0,B,OWN,0.0,10.99,421.0,6.0,6.0,1.0,6.0,3.0,25.0,6.0,40.0,14.0,1.0,1.0,debt_consolidation,3479.0,35.5,B2,0.0,0.0,906.0,2.359991152593192,0.0,0.0
12,2013.0,1.0,105680.0,11227.0,507.0,94.7,0.0,18.51,2 years,other,679.0,10400.0,D,RENT,0.0,17.57,302.0,5.0,5.0,2.0,12.0,8.0,17.0,16.0,23.0,17.0,0.0,0.0,credit_card,18179.0,88.2,D2,1.0,0.0,785.0,0.5385431214318688,1.0,1.0
13,2013.0,1.0,42494.0,11529.0,130.0,91.3,0.0,22.99,10+ years,other,714.0,17475.0,E,MORTGAGE,2.0,21.48,289.0,14.0,14.0,0.0,14.0,1.0,2.0,8.0,2.0,5.0,0.0,0.0,debt_consolidation,1370.0,91.3,E2,0.0,0.0,759.0,17.4897819512363,1.0,1.0
14,2013.0,0.0,84000.0,20179.0,2676.0,86.2,0.0,19.8,10+ years,teacher,709.0,4000.0,C,MORTGAGE,1.0,16.24,238.0,4.0,4.0,4.0,11.0,3.0,7.0,8.0,13.0,11.0,0.0,0.0,other,36862.0,78.6,C5,0.0,0.0,82.0,9.48099192599238,0.0,0.0
15,2013.0,1.0,120000.0,25326.0,3735.0,85.0,2.0,12.54,10+ years,other,684.0,30000.0,D,MORTGAGE,0.0,18.25,292.0,29.0,9.0,6.0,29.0,5.0,7.0,14.0,22.0,16.0,0.0,0.0,debt_consolidation,28822.0,60.0,D3,0.0,0.0,840.0,0.9818272288833316,0.0,0.0
16,2013.0,1.0,70000.0,16609.0,6605.0,81.6,0.0,26.49,10+ years,other,709.0,31825.0,E,MORTGAGE,1.0,20.5,352.0,11.0,11.0,2.0,11.0,5.0,14.0,12.0,25.0,14.0,0.0,0.0,debt_consolidation,35069.0,73.4,E1,0.0,0.0,750.0,11.488899889419644,1.0,1.0
17,2013.0,0.0,50000.0,16836.0,7821.0,45.3,0.0,10.83,5 years,other,709.0,22875.0,C,MORTGAGE,1.0,13.98,117.0,1.0,1.0,1.0,16.0,3.0,6.0,30.0,10.0,10.0,0.0,0.0,home_improvement,15251.0,56.1,C1,0.0,0.0,296.0,16.224311768115612,0.0,0.0
18,2013.0,1.0,72000.0,3711.0,6797.0,74.8,0.0,16.42,3 years,other,689.0,20000.0,C,RENT,0.0,16.24,381.0,3.0,3.0,0.0,31.0,5.0,17.0,8.0,24.0,11.0,1.0,1.0,debt_consolidation,20480.0,72.1,C5,0.0,0.0,945.0,7.542862052159502,0.0,0.0
